seed,n,m,solution,y,phi,aHat,absErr,aTrue,cpu_ms,relErr,log_cpu_ms
2,3,5,11,13,0.40625,0.084265194,0.040734806,0.125,13.883,0.325878448,1.142483323659504
2,3,6,11,40,0.625,0.146446609,0.021446609,0.125,52.743,0.171572872,1.7221648286502724
2,3,7,11,49,0.3828125,0.129524437,0.004524437,0.125,202.437,0.036195496,2.3062898926898043
2,3,8,11,114,0.4453125,0.029227967,0.095772033,0.125,805.9,0.766176264,2.906281155772153
2,3,9,11,317,0.619140625,0.133672864,0.008672864,0.125,3246.973,0.069382912,3.5114786772925353
2,3,10,11,630,0.615234375,0.125431803,0.000431803,0.125,12401.77,0.003454424,4.093483672773141
2,4,5,110,13,0.40625,0.084265194,0.021765194,0.0625,64.222,0.348243104,1.8076838262295318
2,4,6,110,27,0.421875,0.059039368,0.003460632,0.0625,277.459,0.055370112,2.443198816686474
2,4,7,110,74,0.578125,0.059039368,0.003460632,0.0625,1044.646,0.055370112,3.018969145669379
2,4,8,110,108,0.421875,0.059039368,0.003460632,0.0625,4129.688,0.055370112,3.6159172417298233
2,4,9,110,215,0.419921875,0.061964953,0.000535047,0.0625,16889.46,0.008560752,4.227615764267913
2,4,10,110,595,0.581054688,0.063452511,0.000952511,0.0625,68480.758,0.015240176,4.835568558815641
2,5,5,1100,26,0.8125,0.691341716,0.660091716,0.03125,323.781,21.122934912,2.510251360052747
2,5,6,1100,28,0.4375,0.038060234,0.006810234,0.03125,1303.466,0.217927488,3.115099707383931
2,5,7,1100,71,0.5546875,0.029227967,0.002022033,0.03125,5139.709,0.064705056,3.710938530810091
2,5,8,1100,143,0.55859375,0.033503601,0.002253601,0.03125,20707.141,0.072115232,4.31612014072658
2,5,9,1100,227,0.443359375,0.031330494,8.0494e-05,0.03125,84289.29,0.002575808,4.9257723956284085
2,5,10,1100,570,0.556640625,0.031330494,8.0494e-05,0.03125,340704.387,0.002575808,5.532377725694751
4,3,5,10,12,0.375,0.146446609,0.021446609,0.125,18.097,0.171572872,1.2576065863923112
4,3,6,10,39,0.609375,0.113494773,0.011505227,0.125,63.734,0.092041816,1.804371176025968
4,3,7,10,79,0.6171875,0.129524437,0.004524437,0.125,222.788,0.036195496,2.347891794786546
4,3,8,10,99,0.38671875,0.121395577,0.003604423,0.125,881.899,0.028835384,2.9454188501495784
4,3,9,10,197,0.384765625,0.125431803,0.000431803,0.125,3421.522,0.003454424,3.534219336805773
4,3,10,10,630,0.615234375,0.125431803,0.000431803,0.125,13631.427,0.003454424,4.13454132214326
4,4,5,100,19,0.59375,0.084265194,0.021765194,0.0625,70.972,0.348243104,1.851087043875149
4,4,6,100,27,0.421875,0.059039368,0.003460632,0.0625,277.226,0.055370112,2.4428339587211965
4,4,7,100,41,0.3203125,0.286222453,0.223722453,0.0625,1096.358,3.579559248,3.039952389948802
4,4,8,100,148,0.578125,0.059039368,0.003460632,0.0625,4347.433,0.055370112,3.6382328976432365
4,4,9,100,215,0.419921875,0.061964953,0.000535047,0.0625,17258.518,0.008560752,4.237003499834834
4,4,10,100,429,0.418945313,0.063452511,0.000952511,0.0625,69505.436,0.015240176,4.842018771963948
4,5,5,1001,18,0.5625,0.038060234,0.006810234,0.03125,344.755,0.217927488,2.537510573489404
4,5,6,1001,20,0.3125,0.308658284,0.277408284,0.03125,1453.511,8.877065088,3.1624183228083553
4,5,7,1001,79,0.6171875,0.129524437,0.098274437,0.03125,6007.172,3.144781984,3.7786700670366633
4,5,8,1001,117,0.45703125,0.018111967,0.013138033,0.03125,22221.023,0.420417056,4.346764048890537
4,5,9,1001,227,0.443359375,0.031330494,8.0494e-05,0.03125,89177.702,0.002575808,4.950256276921662
4,5,10,1001,569,0.555664063,0.030270388,0.000979612,0.03125,360783.274,0.031347584,5.557246395339188
42,3,5,101,20,0.625,0.146446609,0.021446609,0.125,16.241,0.171572872,1.2106127663528976
42,3,6,101,25,0.390625,0.113494773,0.011505227,0.125,62.244,0.092041816,1.7940974940412098
42,3,7,101,50,0.390625,0.113494773,0.011505227,0.125,227.016,0.092041816,2.3560564671791733
42,3,8,101,98,0.3828125,0.129524437,0.004524437,0.125,996.568,0.036195496,2.998506937775292
42,3,9,101,197,0.384765625,0.125431803,0.000431803,0.125,3704.086,0.003454424,3.5686810614040274
42,3,10,101,630,0.615234375,0.125431803,0.000431803,0.125,14584.037,0.003454424,4.163877757462296
42,4,5,1011,18,0.5625,0.038060234,0.024439766,0.0625,61.593,0.391036256,1.7895313577144714
42,4,6,1011,37,0.578125,0.059039368,0.003460632,0.0625,250.065,0.055370112,2.3980529105607227
42,4,7,1011,74,0.578125,0.059039368,0.003460632,0.0625,971.278,0.055370112,2.987343551829783
42,4,8,1011,148,0.578125,0.059039368,0.003460632,0.0625,4013.161,0.055370112,3.6034865831101195
42,4,9,1011,215,0.419921875,0.061964953,0.000535047,0.0625,15827.193,0.008560752,4.199403898266861
42,4,10,1011,430,0.419921875,0.061964953,0.000535047,0.0625,62111.002,0.008560752,4.79316853551766
42,5,5,10110,18,0.5625,0.038060234,0.006810234,0.03125,308.71,0.217927488,2.4895506977505697
42,5,6,10110,36,0.5625,0.038060234,0.006810234,0.03125,1240.681,0.217927488,3.093660131419215
42,5,7,10110,71,0.5546875,0.029227967,0.002022033,0.03125,4984.964,0.064705056,3.6976620263070923
42,5,8,10110,117,0.45703125,0.018111967,0.013138033,0.03125,20359.907,0.420417056,4.308775789898559
42,5,9,10110,227,0.443359375,0.031330494,8.0494e-05,0.03125,79954.022,0.002575808,4.902840315342688
42,5,10,10110,570,0.556640625,0.031330494,8.0494e-05,0.03125,320216.841,0.002575808,5.505444168810754
