seed,n,m,solution,y,phi,aHat,absErr,aTrue,y_rev,phi_rev,aHat_rev,absErr_rev,cpu_ms
4,2,5,01,26,0.8125000000,0.3086582838,0.0586582838,0.2500000000,11,0.3437500000,0.2222148835,0.0277851165,437.686
4,2,6,01,26,0.4062500000,0.0842651938,0.1657348062,0.2500000000,22,0.3437500000,0.2222148835,0.0277851165,507.779
4,2,7,01,42,0.3281250000,0.2643016316,0.0143016316,0.2500000000,42,0.3281250000,0.2643016316,0.0143016316,371.322
4,2,8,01,213,0.8320312500,0.2535509039,0.0035509039,0.2500000000,171,0.6679687500,0.2535509039,0.0035509039,178.173
4,2,9,01,213,0.4160156250,0.0680135719,0.1819864281,0.2500000000,342,0.6679687500,0.2535509039,0.0035509039,688.257
4,2,10,01,853,0.8330078125,0.2508861665,0.0008861665,0.2500000000,683,0.6669921875,0.2508861665,0.0008861665,2684.046
4,3,5,010,6,0.1875000000,0.3086582838,0.1836582838,0.1250000000,12,0.3750000000,0.1464466094,0.0214466094,16.414
4,3,6,010,5,0.0781250000,0.0590393678,0.0659606322,0.1250000000,40,0.6250000000,0.1464466094,0.0214466094,69.261
4,3,7,010,121,0.9453125000,0.0292279674,0.0957720326,0.1250000000,79,0.6171875000,0.1295244373,0.0045244373,239.806
4,3,8,010,121,0.4726562500,0.0073611788,0.1176388212,0.1250000000,158,0.6171875000,0.1295244373,0.0045244373,906.065
4,3,9,010,441,0.8613281250,0.1780842286,0.0530842286,0.1250000000,315,0.6152343750,0.1254318027,0.0004318027,3557.683
4,3,10,010,326,0.3183593750,0.2917852200,0.1667852200,0.1250000000,394,0.3847656250,0.1254318027,0.0004318027,13702.146
4,4,5,0100,9,0.2812500000,0.4024548390,0.3399548390,0.0625000000,18,0.5625000000,0.0380602337,0.0244397663,70.680
4,4,6,0100,41,0.6406250000,0.1828033579,0.1203033579,0.0625000000,37,0.5781250000,0.0590393678,0.0034606322,277.975
4,4,7,0100,41,0.3203125000,0.2862224533,0.2237224533,0.0625000000,74,0.5781250000,0.0590393678,0.0034606322,1107.572
4,4,8,0100,214,0.8359375000,0.2429486279,0.1804486279,0.0625000000,107,0.4179687500,0.0649565044,0.0024565044,4359.997
4,4,9,0100,470,0.9179687500,0.0649565044,0.0024565044,0.0625000000,215,0.4199218750,0.0619649529,0.0005350471,17297.049
