seed,n,m,solution,y,phi,aHat,absErr,aTrue,cpu_ms
4,2,5,01,12,0.3750000000,0.1464466094,0.1035533906,0.2500000000,6.607
4,2,6,01,22,0.3437500000,0.2222148835,0.0277851165,0.2500000000,12.508
4,2,7,01,43,0.3359375000,0.2429486279,0.0070513721,0.2500000000,46.123
4,2,8,01,171,0.6679687500,0.2535509039,0.0035509039,0.2500000000,170.065
4,2,9,01,171,0.3339843750,0.2482308081,0.0017691919,0.2500000000,673.867
4,2,10,01,683,0.6669921875,0.2508861665,0.0008861665,0.2500000000,2666.329
4,3,5,010,3,0.0937500000,0.9157348062,0.7907348062,0.1250000000,16.771
4,3,6,010,15,0.2343750000,0.5490085702,0.4240085702,0.1250000000,62.967
4,3,7,010,39,0.3046875000,0.3315550733,0.2065550733,0.1250000000,231.447
4,3,8,010,67,0.2617187500,0.4632177182,0.3382177182,0.1250000000,920.807
4,3,9,010,185,0.3613281250,0.1780842286,0.0530842286,0.1250000000,3646.211
4,3,10,010,669,0.6533203125,0.2146096271,0.0896096271,0.1250000000,14520.625
4,4,5,0100,23,0.7187500000,0.4024548390,0.3399548390,0.0625000000,77.435
4,4,6,0100,19,0.2968750000,0.3548576614,0.2923576614,0.0625000000,294.939
4,4,7,0100,41,0.3203125000,0.2862224533,0.2237224533,0.0625000000,1165.859
4,4,8,0100,149,0.5820312500,0.0649565044,0.0024565044,0.0625000000,4667.540
4,4,9,0100,235,0.4589843750,0.0165117645,0.0459882355,0.0625000000,18639.839
