seed,n,m,solution,y,phi,aHat,absErr,aTrue,cpu_ms
4,3,5,010,12,0.375,0.146446609,0.021446609,0.125,18.097
4,3,6,010,39,0.609375,0.113494773,0.011505227,0.125,63.734
4,3,7,010,79,0.6171875,0.129524437,0.004524437,0.125,222.788
4,3,8,010,99,0.38671875,0.121395577,0.003604423,0.125,881.899
4,3,9,010,197,0.384765625,0.125431803,0.000431803,0.125,3421.522
4,3,10,010,630,0.615234375,0.125431803,0.000431803,0.125,13631.427
4,4,5,0100,19,0.59375,0.084265194,0.021765194,0.0625,70.972
4,4,6,0100,27,0.421875,0.059039368,0.003460632,0.0625,277.226
4,4,7,0100,41,0.3203125,0.286222453,0.223722453,0.0625,1096.358
4,4,8,0100,148,0.578125,0.059039368,0.003460632,0.0625,4347.433
4,4,9,0100,215,0.419921875,0.061964953,0.000535047,0.0625,17258.518
4,4,10,0100,429,0.418945313,0.063452511,0.000952511,0.0625,69505.436
4,5,5,01001,18,0.5625,0.038060234,0.006810234,0.03125,344.755
4,5,6,01001,20,0.3125,0.308658284,0.277408284,0.03125,1453.511
4,5,7,01001,79,0.6171875,0.129524437,0.098274437,0.03125,6007.172
4,5,8,01001,117,0.45703125,0.018111967,0.013138033,0.03125,22221.023
4,5,9,01001,227,0.443359375,0.031330494,0.000080494,0.03125,89177.702
4,5,10,01001,569,0.555664063,0.030270388,0.000979612,0.03125,360783.274
2,3,5,011,13,0.40625,0.084265194,0.040734806,0.125,13.883
2,3,6,011,40,0.625,0.146446609,0.021446609,0.125,52.743
2,3,7,011,49,0.3828125,0.129524437,0.004524437,0.125,202.437
2,3,8,011,114,0.4453125,0.029227967,0.095772033,0.125,805.9
2,3,9,011,317,0.619140625,0.133672864,0.008672864,0.125,3246.973
2,3,10,011,630,0.615234375,0.125431803,0.000431803,0.125,12401.77
2,4,5,0110,13,0.40625,0.084265194,0.021765194,0.0625,64.222
2,4,6,0110,27,0.421875,0.059039368,0.003460632,0.0625,277.459
2,4,7,0110,74,0.578125,0.059039368,0.003460632,0.0625,1044.646
2,4,8,0110,108,0.421875,0.059039368,0.003460632,0.0625,4129.688
2,4,9,0110,215,0.419921875,0.061964953,0.000535047,0.0625,16889.46
2,4,10,0110,595,0.581054688,0.063452511,0.000952511,0.0625,68480.758
2,5,5,01100,26,0.8125,0.691341716,0.660091716,0.03125,323.781
2,5,6,01100,28,0.4375,0.038060234,0.006810234,0.03125,1303.466
2,5,7,01100,71,0.5546875,0.029227967,0.002022033,0.03125,5139.709
2,5,8,01100,143,0.55859375,0.033503601,0.002253601,0.03125,20707.141
2,5,9,01100,227,0.443359375,0.031330494,0.000080494,0.03125,84289.29
2,5,10,01100,570,0.556640625,0.031330494,0.000080494,0.03125,340704.387
42,3,5,101,20,0.625,0.146446609,0.021446609,0.125,16.241
42,3,6,101,25,0.390625,0.113494773,0.011505227,0.125,62.244
42,3,7,101,50,0.390625,0.113494773,0.011505227,0.125,227.016
42,3,8,101,98,0.3828125,0.129524437,0.004524437,0.125,996.568
42,3,9,101,197,0.384765625,0.125431803,0.000431803,0.125,3704.086
42,3,10,101,630,0.615234375,0.125431803,0.000431803,0.125,14584.037
42,4,5,1011,18,0.5625,0.038060234,0.024439766,0.0625,61.593
42,4,6,1011,37,0.578125,0.059039368,0.003460632,0.0625,250.065
42,4,7,1011,74,0.578125,0.059039368,0.003460632,0.0625,971.278
42,4,8,1011,148,0.578125,0.059039368,0.003460632,0.0625,4013.161
42,4,9,1011,215,0.419921875,0.061964953,0.000535047,0.0625,15827.193
42,4,10,1011,430,0.419921875,0.061964953,0.000535047,0.0625,62111.002
42,5,5,10110,18,0.5625,0.038060234,0.006810234,0.03125,308.71
42,5,6,10110,36,0.5625,0.038060234,0.006810234,0.03125,1240.681
42,5,7,10110,71,0.5546875,0.029227967,0.002022033,0.03125,4984.964
42,5,8,10110,117,0.45703125,0.018111967,0.013138033,0.03125,20359.907
42,5,9,10110,227,0.443359375,0.031330494,0.000080494,0.03125,79954.022
42,5,10,10110,570,0.556640625,0.031330494,0.000080494,0.03125,320216.841
