seed,n,m,solution,y,phi,aHat,absErr,aTrue,cpu_ms
4,3,5,010,12,0.3750000000,0.1464466094,0.0214466094,0.1250000000,815.900
4,3,6,010,39,0.6093750000,0.1134947733,0.0115052267,0.1250000000,434.585
4,3,7,010,79,0.6171875000,0.1295244373,0.0045244373,0.1250000000,222.788
4,3,8,010,99,0.3867187500,0.1213955767,0.0036044233,0.1250000000,881.899
4,3,9,010,197,0.3847656250,0.1254318027,0.0004318027,0.1250000000,3421.522
4,3,10,010,630,0.6152343750,0.1254318027,0.0004318027,0.1250000000,13631.427
4,4,5,0100,19,0.5937500000,0.0842651938,0.0217651938,0.0625000000,70.972
4,4,6,0100,27,0.4218750000,0.0590393678,0.0034606322,0.0625000000,277.226
4,4,7,0100,41,0.3203125000,0.2862224533,0.2237224533,0.0625000000,1096.358
4,4,8,0100,148,0.5781250000,0.0590393678,0.0034606322,0.0625000000,4347.433
4,4,9,0100,215,0.4199218750,0.0619649529,0.0005350471,0.0625000000,17258.518
4,4,10,0100,429,0.4189453125,0.0634525108,0.0009525108,0.0625000000,69505.436
4,5,5,01001,18,0.5625000000,0.0380602337,0.0068102337,0.0312500000,344.755
4,5,6,01001,20,0.3125000000,0.3086582838,0.2774082838,0.0312500000,1453.511
4,5,7,01001,79,0.6171875000,0.1295244373,0.0982744373,0.0312500000,6007.172
4,5,8,01001,117,0.4570312500,0.0181119671,0.0131380329,0.0312500000,22221.023
4,5,9,01001,227,0.4433593750,0.0313304940,0.0000804940,0.0312500000,89177.702
4,5,10,01001,569,0.5556640625,0.0302703882,0.0009796118,0.0312500000,360783.274
2,3,5,011,13,0.4062500000,0.0842651938,0.0407348062,0.1250000000,13.883
2,3,6,011,40,0.6250000000,0.1464466094,0.0214466094,0.1250000000,52.743
2,3,7,011,49,0.3828125000,0.1295244373,0.0045244373,0.1250000000,202.437
2,3,8,011,114,0.4453125000,0.0292279674,0.0957720326,0.1250000000,805.900
2,3,9,011,317,0.6191406250,0.1336728642,0.0086728642,0.1250000000,3246.973
2,3,10,011,630,0.6152343750,0.1254318027,0.0004318027,0.1250000000,12401.770
2,4,5,0110,13,0.4062500000,0.0842651938,0.0217651938,0.0625000000,64.222
2,4,6,0110,27,0.4218750000,0.0590393678,0.0034606322,0.0625000000,277.459
2,4,7,0110,74,0.5781250000,0.0590393678,0.0034606322,0.0625000000,1044.646
2,4,8,0110,108,0.4218750000,0.0590393678,0.0034606322,0.0625000000,4129.688
2,4,9,0110,215,0.4199218750,0.0619649529,0.0005350471,0.0625000000,16889.460
2,4,10,0110,595,0.5810546875,0.0634525108,0.0009525108,0.0625000000,68480.758
2,5,5,01100,26,0.8125000000,0.6913417162,0.6600917162,0.0312500000,323.781
2,5,6,01100,28,0.4375000000,0.0380602337,0.0068102337,0.0312500000,1303.466
2,5,7,01100,71,0.5546875000,0.0292279674,0.0020220326,0.0312500000,5139.709
2,5,8,01100,143,0.5585937500,0.0335036006,0.0022536006,0.0312500000,20707.141
2,5,9,01100,227,0.4433593750,0.0313304940,0.0000804940,0.0312500000,84289.290
2,5,10,01100,570,0.5566406250,0.0313304940,0.0000804940,0.0312500000,340704.387
42,3,5,101,20,0.6250000000,0.1464466094,0.0214466094,0.1250000000,16.241
42,3,6,101,25,0.3906250000,0.1134947733,0.0115052267,0.1250000000,62.244
42,3,7,101,50,0.3906250000,0.1134947733,0.0115052267,0.1250000000,227.016
42,3,8,101,98,0.3828125000,0.1295244373,0.0045244373,0.1250000000,996.568
42,3,9,101,197,0.3847656250,0.1254318027,0.0004318027,0.1250000000,3704.086
42,3,10,101,630,0.6152343750,0.1254318027,0.0004318027,0.1250000000,14584.037
42,4,5,1011,18,0.5625000000,0.0380602337,0.0244397663,0.0625000000,61.593
42,4,6,1011,37,0.5781250000,0.0590393678,0.0034606322,0.0625000000,250.065
42,4,7,1011,74,0.5781250000,0.0590393678,0.0034606322,0.0625000000,971.278
42,4,8,1011,148,0.5781250000,0.0590393678,0.0034606322,0.0625000000,4013.161
42,4,9,1011,215,0.4199218750,0.0619649529,0.0005350471,0.0625000000,15827.193
42,4,10,1011,430,0.4199218750,0.0619649529,0.0005350471,0.0625000000,62111.002
42,5,5,10110,18,0.5625000000,0.0380602337,0.0068102337,0.0312500000,308.710
42,5,6,10110,36,0.5625000000,0.0380602337,0.0068102337,0.0312500000,1240.681
42,5,7,10110,71,0.5546875000,0.0292279674,0.0020220326,0.0312500000,4984.964
42,5,8,10110,117,0.4570312500,0.0181119671,0.0131380329,0.0312500000,20359.907
42,5,9,10110,227,0.4433593750,0.0313304940,0.0000804940,0.0312500000,79954.022
42,5,10,10110,570,0.5566406250,0.0313304940,0.0000804940,0.0312500000,320216.841
